# EOS 2000D hot pixels: per-pixel MIN of 235 x 10s ISO1600 JPEGs (IMG_9347-9581, night3 2026-07-12), threshold median+15
# x,y,min_value (6000x4000 frame; JPEG demosaic spreads each hot photosite over ~2-3 px)
x,y,value
4451,3651,56
3416,3876,56
513,2599,56
4444,3652,56
4811,2243,55
2591,513,55
3768,2331,55
205,2565,55
205,2563,55
3799,1037,55
1905,3029,55
4038,2924,55
3346,2217,55
3337,2217,55
4334,3264,55
4343,3264,54
4804,2244,54
513,2601,54
5539,2621,54
3899,1529,54
3899,1531,54
2425,1757,54
4305,1879,54
3792,1036,54
2802,1011,54
3799,1035,54
2283,2035,53
5539,2619,53
1914,3029,53
4813,2244,53
4305,1877,53
5147,1475,53
5147,1477,53
1881,1313,53
1438,430,53
2591,511,53
2142,140,53
207,2564,52
5140,1476,52
4939,2535,52
822,3355,52
2000,3263,52
5903,49,52
5189,3820,52
3892,1530,52
4074,1045,52
4764,2851,52
2427,1758,51
2418,1758,51
5149,1476,51
4451,3653,51
2793,1011,51
1883,1312,51
1874,1312,51
3901,1530,51
2593,512,51
2141,141,51
117,76,51
355,1653,51
1991,3263,51
4755,2851,51
506,2600,51
4298,1878,50
5532,2620,50
515,2600,50
3759,2331,50
813,3355,50
4065,1045,50
119,78,50
5903,47,50
2584,512,50
2292,2035,50
3801,1036,50
4948,2535,49
5541,2620,49
364,1653,49
1999,3264,49
4307,1878,49
3345,2216,48
1913,3030,48
289,1713,48
2283,17,48
198,2564,48
117,78,48
2291,2034,48
5905,48,47
119,76,47
1906,3030,47
3345,2218,47
821,3354,47
298,1713,46
3767,2330,46
1913,3028,46
3760,2330,46
1992,3262,46
5791,865,46
1481,312,46
3767,2332,46
4073,1046,45
2801,1012,45
3338,2216,45
2292,17,45
4073,1044,45
4947,2536,45
4940,2534,45
821,3356,45
3760,2332,45
4763,2850,45
1486,311,45
5896,48,45
814,3356,44
1999,3262,44
4763,2852,44
814,3354,44
4947,2534,44
118,474,44
2142,142,44
2284,2036,44
2794,1010,44
1486,313,44
2284,2034,43
5188,3821,43
2801,1010,43
5791,867,43
363,1654,43
297,1712,43
4756,2852,43
5793,866,43
2291,2036,43
5181,3819,42
4066,1046,42
4342,3265,42
1992,3264,42
4940,2536,42
356,1654,42
363,1652,41
4756,2850,41
3338,2218,41
5784,866,41
1906,3028,41
4046,2925,40
4335,3265,40
2291,16,40
1482,311,40
3424,3875,40
1436,431,40
5188,3819,40
4039,2923,40
2284,18,39
297,1714,39
3417,3877,39
4342,3263,39
4339,2636,39
1434,430,39
1436,429,39
356,1652,39
290,1712,39
2794,1012,39
4452,3651,39
5181,3821,39
3424,3877,39
4341,2636,38
